unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
139755,Georgia Institute of Technology-Main Campus,2005,Georgia,0.67,0.39,9172,6191,2427,710,30
139959,University of Georgia,2005,Georgia,0.62,0.55,13267,8197,4513,660,28
145637,University of Illinois at Urbana-Champaign,2005,Illinois,0.68,0.48,21986,14955,7237,700,30
147767,Northwestern University,2005,Illinois,0.3,0.41,15637,4684,1915,750,33
151351,Indiana University-Bloomington,2005,Indiana,0.85,0.37,21974,18602,6949,615,27
152080,University of Notre Dame,2005,Indiana,0.32,0.55,11316,3581,1965,740,33
153603,Iowa State University,2005,Iowa,0.9,0.46,9101,8216,3769,675,27
153658,University of Iowa,2005,Iowa,0.84,0.35,13241,11122,3849,655,27
155317,University of Kansas,2005,Kansas,0.69,0.59,10442,7228,4269,NA,27
155399,Kansas State University,2005,Kansas,0.48,0.72,10067,4806,3466,NA,26
157085,University of Kentucky,2005,Kentucky,0.79,0.47,10604,8353,3961,630,27
157289,University of Louisville,2005,Kentucky,0.81,0.55,5335,4325,2358,615,26
159391,Louisiana State University and Agricultural & Mechanical College,2005,Louisiana,0.78,0.66,11077,8660,5700,645,27
163286,University of Maryland-College Park,2005,Maryland,0.49,0.38,22427,11001,4212,685,NA
164924,Boston College,2005,Massachusetts,0.31,0.3,23823,7302,2174,710,31
170976,University of Michigan-Ann Arbor,2005,Michigan,0.57,0.45,23882,13610,6115,710,31
171100,Michigan State University,2005,Michigan,0.76,0.45,21844,16686,7485,635,27
174066,University of Minnesota-Twin Cities,2005,Minnesota,0.7,0.37,20573,14309,5305,675,28
176017,University of Mississippi,2005,Mississippi,0.81,0.42,6662,5410,2270,590,26
176080,Mississippi State University,2005,Mississippi,0.69,0.49,5778,3982,1966,NA,27
178396,University of Missouri-Columbia,2005,Missouri,0.83,0.46,12404,10262,4718,655,28
181464,University of Nebraska-Lincoln,2005,Nebraska,0.75,0.63,7474,5633,3560,665,28
186380,Rutgers University-New Brunswick,2005,New Jersey,0.61,0.33,25462,15437,5121,650,NA
196413,Syracuse University,2005,New York,0.65,0.31,16265,10519,3253,660,29
198419,Duke University,2005,North Carolina,0.22,0.43,18090,3995,1724,765,33
199120,University of North Carolina at Chapel Hill,2005,North Carolina,0.36,0.53,18850,6741,3589,695,30
199193,North Carolina State University at Raleigh,2005,North Carolina,0.59,0.47,14109,8336,3957,645,27
199847,Wake Forest University,2005,North Carolina,0.47,0.38,6289,2945,1121,705,NA
204796,Ohio State University-Main Campus,2005,Ohio,0.73,0.46,17636,12957,5954,600,28
207388,Oklahoma State University-Main Campus,2005,Oklahoma,0.51,1,6533,3331,3315,615,27
207500,University of Oklahoma-Norman Campus,2005,Oklahoma,0.86,0.51,7382,6325,3239,NA,28
209542,Oregon State University,2005,Oregon,0.9,0.46,6917,6224,2888,600,26
209551,University of Oregon,2005,Oregon,0.91,0.36,9623,8749,3183,615,NA
214777,Pennsylvania State University-Main Campus,2005,Pennsylvania,0.58,0.34,30122,17551,5907,645,28
215293,University of Pittsburgh-Pittsburgh Campus,2005,Pennsylvania,0.49,0.32,18973,9295,2991,665,28
217882,Clemson University,2005,South Carolina,0.69,0.42,10620,7287,3033,650,28
218663,University of South Carolina-Columbia,2005,South Carolina,0.67,0.41,12379,8344,3403,625,27
221759,The University of Tennessee-Knoxville,2005,Tennessee,0.44,0.92,10832,4793,4422,610,27
221999,Vanderbilt University,2005,Tennessee,0.35,0.39,11663,4115,1622,730,33
223232,Baylor University,2005,Texas,0.66,0.31,15485,10170,3168,655,27
228723,Texas A & M University-College Station,2005,Texas,0.7,0.56,17911,12547,7079,655,28
228778,The University of Texas at Austin,2005,Texas,0.51,0.56,23925,12207,6836,680,29
228875,Texas Christian University,2005,Texas,0.67,0.29,8155,5471,1596,635,28
229115,Texas Tech University,2005,Texas,0.71,0.42,12583,8927,3779,610,26
230764,University of Utah,2005,Utah,0.86,0.51,6251,5403,2769,NA,26
233921,Virginia Polytechnic Institute and State University,2005,Virginia,0.72,0.4,17670,12703,5049,645,NA
234076,University of Virginia-Main Campus,2005,Virginia,0.38,0.53,15657,5898,3113,715,30
236939,Washington State University,2005,Washington,0.74,0.42,9193,6793,2878,605,26
